Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
18,Entry long,2026-03-16 18:05,Long,0.10256,9752.291,1000.194965,-0.54,-0.05,7.39,0.74,-1.29,-0.13,-23.17,-0.51
19,Exit long,2026-03-16 20:00,ST Flip,0.10301,9719.117,999.902757,-0.74,-0.07,7.46,0.74,-2.17,-0.22,-23.9,-0.53
19,Entry long,2026-03-16 19:30,Long,0.10288,9719.117,999.902757,-0.74,-0.07,7.46,0.74,-2.17,-0.22,-23.9,-0.53
20,Exit long,2026-03-16 20:24,Stop,0.10292,9662.769,999.9033361,-7.41,-0.74,4.41,0.44,-6.99,-0.70,-31.31,-0.70
20,Entry long,2026-03-16 20:11,Long,0.10348,9662.769,999.9033361,-7.41,-0.74,4.41,0.44,-6.99,-0.70,-31.31,-0.70
21,Exit long,2026-03-16 21:05,ST Flip,0.10261,9686.168,1000.096846,-8.19,-0.82,0.07,0.01,-7.2,-0.72,-39.5,-0.88
21,Entry long,2026-03-16 21:00,Long,0.10325,9686.168,1000.096846,-8.19,-0.82,0.07,0.01,-7.2,-0.72,-39.5,-0.88
22,Exit long,2026-03-16 21:43,ST Flip,0.10295,9695.559,1000.387778,-4.23,-0.42,5.88,0.59,-3.42,-0.34,-43.73,-0.97
22,Entry long,2026-03-16 21:08,Long,0.10318,9695.559,1000.387778,-4.23,-0.42,5.88,0.59,-3.42,-0.34,-43.73,-0.97
23,Exit long,2026-03-16 22:38,RSI Exit,0.10385,9705.91,1000.291085,5.66,0.57,6.86,0.69,-1.29,-0.13,-38.07,-0.85
23,Entry long,2026-03-16 22:34,Long,0.10306,9705.91,1000.291085,5.66,0.57,6.86,0.69,-1.29,-0.13,-38.07,-0.85
24,Exit long,2026-03-17 02:04,ST Flip,0.09968,9987.016,999.9000419,-6.39,-0.64,0.5,0.05,-5.39,-0.54,-44.46,-0.99
24,Entry long,2026-03-17 01:52,Long,0.10012,9987.016,999.9000419,-6.39,-0.64,0.5,0.05,-5.39,-0.54,-44.46,-0.99
25,Exit long,2026-03-17 02:34,ST Flip,0.10004,9985.022,1000.099804,-3.2,-0.32,2.89,0.29,-2.7,-0.27,-47.66,-1.06
25,Entry long,2026-03-17 02:12,Long,0.10016,9985.022,1000.099804,-3.2,-0.32,2.89,0.29,-2.7,-0.27,-47.66,-1.06
26,Exit long,2026-03-17 03:39,ST Flip,0.10065,9979.044,1000.09979,2.29,0.23,8.08,0.81,-1.7,-0.17,-45.37,-1.01
26,Entry long,2026-03-17 03:03,Long,0.10022,9979.044,1000.09979,2.29,0.23,8.08,0.81,-1.7,-0.17,-45.37,-1.01
27,Exit long,2026-03-17 04:11,Stop,0.10047,9917.683,999.8016232,-5.37,-0.54,0,0.00,-4.37,-0.44,-50.74,-1.13
27,Entry long,2026-03-17 04:02,Long,0.10081,9917.683,999.8016232,-5.37,-0.54,0,0.00,-4.37,-0.44,-50.74,-1.13
28,Exit long,2026-03-17 05:56,Stop,0.10059,9907.856,999.5045133,-4.87,-0.49,3.26,0.33,-4.27,-0.43,-55.61,-1.24
28,Entry long,2026-03-17 05:20,Long,0.10088,9907.856,999.5045133,-4.87,-0.49,3.26,0.33,-4.27,-0.43,-55.61,-1.24
29,Exit long,2026-03-17 06:39,Stop,0.10022,9950.248,1000.198929,-4.98,-0.50,0,0.00,-5.28,-0.53,-60.59,-1.35
29,Entry long,2026-03-17 06:24,Long,0.10052,9950.248,1000.198929,-4.98,-0.50,0,0.00,-5.28,-0.53,-60.59,-1.35
30,Exit long,2026-03-17 07:31,ST Flip,0.10023,9954.21,999.8008524,-4.09,-0.41,0,0.00,-3.09,-0.31,-64.68,-1.44
30,Entry long,2026-03-17 07:06,Long,0.10044,9954.21,999.8008524,-4.09,-0.41,0,0.00,-3.09,-0.31,-64.68,-1.44
31,Exit long,2026-03-17 08:25,Stop,0.09972,9978.048,1000.199532,-7.18,-0.72,0,0.00,-6.19,-0.62,-71.86,-1.60
