Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
20,Exit long,2026-01-26 09:11,ST Flip,2.46,381,963.93,-28.57,-2.96,21.9,2.27,-27.63,-2.86,-74.45,-1.65
20,Entry long,2026-01-26 07:49,Long,2.53,381,963.93,-28.57,-2.96,21.9,2.27,-27.63,-2.86,-74.45,-1.65
21,Exit long,2026-01-26 10:07,RSI Exit,3.17,383,999.63,212.27,21.21,236.46,23.63,-12.49,-1.25,137.82,3.06
21,Entry long,2026-01-26 09:35,Long,2.61,383,999.63,212.27,21.21,236.46,23.63,-12.49,-1.25,137.82,3.06
22,Exit long,2026-01-26 16:38,ST Flip,2.46,383,988.14,-47.89,-4.84,33.48,3.38,-46.95,-4.75,89.93,2.00
22,Entry long,2026-01-26 14:27,Long,2.58,383,988.14,-47.89,-4.84,33.48,3.38,-46.95,-4.75,89.93,2.00
23,Exit long,2026-01-27 04:08,Stop,2.32,377,897.26,-24.39,-2.72,0,0.00,-23.52,-2.62,65.54,1.46
23,Entry long,2026-01-27 04:00,Long,2.38,377,897.26,-24.39,-2.72,0,0.00,-23.52,-2.62,65.54,1.46
24,Exit long,2026-01-27 13:16,ST Flip,2.52,377,968.89,-20.77,-2.14,29.19,3.01,-46.21,-4.76,44.77,0.99
24,Entry long,2026-01-27 08:26,Long,2.57,377,968.89,-20.77,-2.14,29.19,3.01,-46.21,-4.76,44.77,0.99
25,Exit long,2026-01-28 08:33,Stop,2.31,387,963.63,-71.52,-7.41,0,0.00,-70.62,-7.32,-26.75,-0.59
25,Entry long,2026-01-28 07:25,Long,2.49,387,963.63,-71.52,-7.41,0,0.00,-70.62,-7.32,-26.75,-0.59
26,Exit long,2026-01-29 09:40,Stop,2.33,403,963.17,-26.08,-2.71,0,0.00,-25.14,-2.61,-52.83,-1.17
26,Entry long,2026-01-29 08:57,Long,2.39,403,963.17,-26.08,-2.71,0,0.00,-25.14,-2.61,-52.83,-1.17
27,Exit long,2026-01-30 07:45,ST Flip,2.49,386,1088.52,-129.43,-11.88,14.35,1.32,-128.47,-11.79,-182.26,-4.05
27,Entry long,2026-01-30 07:42,Long,2.82,386,1088.52,-129.43,-11.88,14.35,1.32,-128.47,-11.79,-182.26,-4.05
28,Exit long,2026-01-30 07:56,Stop,2.42,333,979.02,-174.94,-17.85,82.27,8.40,-177.47,-18.11,-357.21,-7.94
28,Entry long,2026-01-30 07:53,Long,2.94,333,979.02,-174.94,-17.85,82.27,8.40,-177.47,-18.11,-357.21,-7.94
29,Exit long,2026-01-30 10:34,ST Flip,2.67,387,1010.07,21.18,2.09,134.44,13.30,-24.23,-2.40,-336.03,-7.47
29,Entry long,2026-01-30 09:34,Long,2.61,387,1010.07,21.18,2.09,134.44,13.30,-24.23,-2.40,-336.03,-7.47
30,Exit long,2026-01-30 11:44,Stop,2.59,367,972.55,-23.94,-2.46,10.04,1.03,-37.67,-3.87,-359.97,-8.00
30,Entry long,2026-01-30 11:04,Long,2.65,367,972.55,-23.94,-2.46,10.04,1.03,-37.67,-3.87,-359.97,-8.00
31,Exit long,2026-01-30 16:55,ST Flip,2.57,362,995.5,-67.09,-6.73,20.72,2.08,-66.16,-6.64,-427.06,-9.49
31,Entry long,2026-01-30 15:55,Long,2.75,362,995.5,-67.09,-6.73,20.72,2.08,-66.16,-6.64,-427.06,-9.49
